"Консультация ортопеда","800 руб."
"Снятие коронки (за единицу)","1800руб."
"Цементировка коронки (за единицу)","1200руб."
"Культевая вкладка","от 7000 руб"
"Частичный пластиночный протез (до 4-х зубов)","от 24 500 руб."
"Полный пластиночный протез","от 39 000 руб."
"Изготовление бюгельного протеза с кламмерами, простого (2 кламмера)","от 74 800 руб."
"Частичный нейлоновый протез (от 4 до 13 зубов)","от 58 300 руб."
"Металлокерамика (Co-Cr)","от 13 300 руб."
"Металлокерамика (золотосодержащий сплав)","от 54 000 руб."
"Временная коронка на импланте","от 5200 руб."
"Металлокерамическая коронка на винтовой фиксации с опорой на имплант или в мостовидном протезе (Co-Cr)","от 39 000 руб."
"Починка съемного протеза, не требующая снятия слепков (акрил)","5100руб."
"Починка нейлонового съемного протеза, перенос кламмера","15 000руб."
"Коронка или винир E-max","от 29 700 руб."
"Изготовление хирургического шаблона для установки имплантатов","от 9600 руб."
"Каппа","от 11 900 руб."
"",""
"Установка четырех имплантатов по системе ""Nobel Parallel СС"" (на одну челюсть)","191 300руб."
"Установка временной (на 6 месяцев) условно - съемной ортопедической конструкции (на одну челюсть)","181 600руб."
"Установка постоянной ортопедической конструкции (на одну челюсть)","от 72 000 руб."
"Консультация пародонтолога","800 руб."
"Закрытый кюретаж в области одного зуба","2000руб."
"Закрытый кюретаж в пределах одного сегмента (4-6 зубов)","7350руб."
"Открытый кюретаж пародонтального кармана","от 3700 руб."
"",""
"одного зуба","1800руб."
"сегмент (4-6 зубов)","8100руб."
"Вестибулопластика местными тканями","8800 руб."
"",""
"за один зуб","2100 руб."
"за 4-6 зубов","6400 руб."
"Коррекция альвеолярного гребня","от 2000 руб."
"Лечебная (защитная) повязка (на одну челюсть)","1200 руб."
"Шинирование в области 1 зуба","3700 руб."
"Пластика уздечки языка","7700руб."
"Консультация ортодонта","800 руб."
"Диагностика и составление плана лечения (расчет моделей, расчет телерентгенограммы и ортопантомограммы, составление плана лечения)","5300 руб."
"Снятие слепка и изготовление диагностической модели (для одной челюсти)","1800 руб."
